,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,cosine
Number of Clusters,4
Coverage,1.0
Entropy Samples,1.2556490917842964
Entropy Features,0.8408039857821294
Silhouette Samples,0.14310542137957075
Silhouette Features,0.029905529957128845
Modularity,0.08166666666666667
