Item,Value
Graph Construction Method,aggregate
Distance Metric,cosine
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.6484315819452755
Silhouette Score,0.02559733660740299
Davies Bouldin Index,1.8315391912181933
Num Communities,9
