Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model23
Modularity,0.10384707280617714
Silhouette Score,-0.03769071027636528
Davies Bouldin Index,1.955836422613531
Num Communities,4
