Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model67
Modularity,0.030081651947770627
Silhouette Score,0.011235751211643219
Davies Bouldin Index,1.9755799755799757
Num Communities,2
