,Method,Model Name,Number of Clusters,Coverage,Entropy Samples,Entropy Features,Silhouette Samples,Silhouette Features,Modularity,type,Distance Metric
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.130185185185185,2.0594119223114,2.00742526071508,-0.04130152,-0.038603645,0.00119594752526556,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200833333333333,1.58891540023728,1.58769763284171,-0.03507245,-0.023665296,-0.00170555559620542,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.144259259259259,1.94248239896611,1.92568793910506,-0.059513465,-0.043833554,-0.00296546709246141,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200833333333333,1.58891540023728,1.58769763284171,-0.03507245,-0.023665296,-0.00170555559620542,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.112314814814815,2.17207136575291,2.1661261851568,-0.07907581,-0.060635943,-0.000436369304088683,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.336111111111111,1.09751292556575,1.05422552246324,-0.016570386,-0.0072818827,-0.00760686001915732,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.1025,2.27432764977377,2.1489829981202,-0.10677774,-0.06739482,-0.00523477010760516,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.130185185185185,2.0594119223114,2.00742526071508,-0.04130152,-0.038603645,0.00119594752526556,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.248148148148148,1.38208962351552,1.35280925311766,-0.026819278,-0.040627856,-0.0132837812533774,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.112314814814815,2.17207136575291,2.1661261851568,-0.07907581,-0.060635943,-0.000436369304088683,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.130185185185185,2.0594119223114,2.00742526071508,-0.04130152,-0.038603645,0.00119594752526556,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.336111111111111,1.09751292556575,1.05422552246324,-0.016570386,-0.0072818827,-0.00760686001915732,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200833333333333,1.58891540023728,1.58769763284171,-0.03507245,-0.023665296,-0.00170555559620542,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.163518518518519,1.77697690123604,1.76899597920918,-0.043420594,-0.033851724,-0.00804485692176739,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.1025,2.27432764977377,2.1489829981202,-0.10677774,-0.06739482,-0.00523477010760516,BSGP_Embedded,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.055233491082435,-0.0126642242594991,-0.000784906831767048,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.055233491082435,-0.0126642242594991,-0.00118016622323134,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0622035051382245,-0.00741247263515285,0.00169403428454024,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0196195572331589,-0.00251718466011984,-0.00282500303303784,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0622035051382245,-0.00741247263515285,0.00107559098689958,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0277182283120186,-0.00134519988425538,-0.00598364789317403,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.249801311728395,1.38567690430078,1.38486931433604,-0.0247244256052467,-0.00639935461706978,-0.000448830692993452,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0714255385864184,-0.015192484034655,-0.00100627561274862,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.0514322024221666,-0.00666257504762446,-0.000784906831767048,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0277182283120186,-0.00134519988425538,-0.00301134096130749,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.0621732424720767,-0.0160930760609722,-0.00692369219105709,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0613848550860244,-0.00802339156840677,-0.00127458735100597,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.0621732424720767,-0.0160930760609722,-0.00303259463596378,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0613848550860244,-0.00802339156840677,-0.00314360302676218,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0457229710246869,-0.00438210678328048,-0.00125249050488613,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0196195572331589,-0.00251718466011984,-0.00885530979555364,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.249801311728395,1.38567690430078,1.38486931433604,-0.0178384259997413,-0.00763562157556279,0.00053523982581772,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.100119820224745,-0.0130051355766507,-0.00692369219105709,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.249801311728395,1.38567690430078,1.38486931433604,-0.0226637296761759,-0.00389286366587468,4.96972360628858E-05,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.055233491082435,-0.0126642242594991,-0.00067179654426011,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0622035051382245,-0.00741247263515285,0.00118713368060644,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0457229710246869,-0.00438210678328048,-0.00127458735100597,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0714255385864184,-0.015192484034655,-0.00455905092044933,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0277182283120186,-0.00134519988425538,-0.00282500303303784,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0470734228721559,-0.00385557418994028,0.00118713368060644,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0196195572331589,-0.00251718466011984,-0.00301134096130749,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0550582767935451,-0.00915115610890088,-0.00132109114229836,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0714255385864184,-0.015192484034655,-0.00132109114229836,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0622035051382245,-0.00741247263515285,0.00118747151127198,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0405623365825977,-0.0177462774648247,-0.00103888487770717,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0470734228721559,-0.00385557418994028,0.00169403428454024,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0550582767935451,-0.00915115610890088,-0.00455905092044933,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,4,0.249801311728395,1.38567690430078,1.38486931433604,-0.0226637296761759,-0.00389286366587468,0.000424571314058833,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0405623365825977,-0.0177462774648247,-0.00132109114229836,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0613848550860244,-0.00802339156840677,-0.00125249050488613,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,3,0.332413194444444,1.09336404777535,1.09806702374774,-0.0277182283120186,-0.00134519988425538,-0.0031276986346199,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,7,0.142503858024691,1.93681838714206,1.9447607440378,-0.0800909229151552,-0.0108438127580156,-0.000770485495848303,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.074359249987916,-0.00837213705787377,-0.00352992548141304,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,9,0.111028163580247,2.18923468736069,2.19650918176305,-0.074359249987916,-0.00837213705787377,-0.00253119510282958,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0362765563518058,-0.0075468979940432,0.00108953253223663,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0362765563518058,-0.0075468979940432,0.00107846229779959,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0497208197517871,-0.0082601571010546,-0.00626996230003219,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.100202546296296,2.25552316734775,2.30035605701506,-0.0719592809419588,-0.0102610800749631,-0.00210444419103497,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,8,0.124984567901235,2.06960763352708,2.07781429867632,-0.0714255385864184,-0.015192484034655,-0.00223072898146581,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0613848550860244,-0.00802339156840677,-0.00192168899450158,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,10,0.100202546296296,2.25552316734775,2.30035605701506,-0.0959198335791983,-0.0146361845155723,-0.00211295507584162,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,6,0.166329089506173,1.78377883750695,1.79098000970639,-0.0497208197517871,-0.0082601571010546,-0.00314360302676218,BSGP_Raw,
Value,Bipartite Spectral Graph Partitioning,TimeVAE_model9,5,0.200547839506173,1.60410288871083,1.60755347900363,-0.0362765563518058,-0.0075468979940432,0.00169403428454024,BSGP_Raw,
