Item,Value
Graph Construction Method,flatten
Distance Metric,cosine
Connectivity,knn
K Neighbors,7
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.3758910066251132
Silhouette Score,0.02313347550751633
Davies Bouldin Index,1.802851629502573
Num Communities,4
