,Value
Method,SpectralBiclustering
Model_name,TimeVAE_model9
Distance Metric,cosine
Number of Clusters,5
Coverage,1.0
Entropy Samples,1.4452078466524838
Entropy Features,1.2634947642343008
Silhouette Samples,0.15141411751933953
Silhouette Features,0.05451238721531505
Modularity,0.03768518518518518
