,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,5
Coverage,0.20054783950617283
Entropy Samples,1.6041028887108257
Entropy Features,1.6075534790036334
Silhouette Samples,-0.047073422872155865
Silhouette Features,-0.003855574189940283
Modularity,0.0010755909868995807
