Item,Value
Graph Construction Method,flatten
Distance Metric,cosine
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model49
Modularity,0.11307833537971797
Silhouette Score,-0.12034719437360764
Davies Bouldin Index,1.9583680382031208
Num Communities,3
