Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model46
Modularity,0.7240466880516571
Silhouette Score,0.06305930018424988
Davies Bouldin Index,1.0926542207792207
Num Communities,12
