,Value
Method,BiMCL
Distance Metric,euclidean
Number of Clusters,9
Coverage,1.0
Entropy,506.24046495225696
Silhouette,-0.009574056439709643
Modularity,0.02769097222222222
model_name,TimeVAE_model8
