,Value
Method,BiMCL
Distance Metric,manhattan
Number of Clusters,6
Coverage,1.0
Entropy,1010.4750264485677
Silhouette,-0.0226798296288106
Modularity,0.04189814814814815
model_name,TimeVAE_model9
