Item,Value
Graph Construction Method,aggregate
Distance Metric,euclidean
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.6113664674367737
Silhouette Score,0.09353123988884465
Davies Bouldin Index,1.378246650984232
Num Communities,7
