Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model9
Modularity,0.04340433969805188
Silhouette Score,0.06884682923555374
Davies Bouldin Index,1.9774407820528888
Num Communities,2
