Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Model Name,TimeVAE_model16
Modularity,0.03947504417447415
Silhouette Score,-0.043852660804986954
Davies Bouldin Index,1.967910545808344
Num Communities,3
