,Value
Method,BiMCL
Distance Metric,cosine
Number of Clusters,9
Coverage,1.0
Entropy,663.9926181369358
Silhouette,-0.013604688224990644
Modularity,0.028287037037037038
model_name,TimeVAE_model9
