Item,Value
Graph Construction Method,aggregate
Distance Metric,cosine
Connectivity,epsilon
K Neighbors,3
Percentile,100
Clustering Algorithm,louvain
Modularity,0.1533661954726232
Silhouette Score,0.008268843225067433
Davies Bouldin Index,1.9498251748251747
Num Communities,3
