Item,Value
Graph Construction Method,flatten
Distance Metric,cosine
Connectivity,knn
K Neighbors,7
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model25
Modularity,0.4352119319004635
Silhouette Score,-0.09215089678764343
Davies Bouldin Index,2.5706340538885133
Num Communities,6
