Item,Value
Graph Construction Method,flatten
Distance Metric,manhattan
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model25
Modularity,0.4543237757291712
Silhouette Score,-0.053420908749103546
Davies Bouldin Index,2.1853746094181203
Num Communities,6
