Item,Value
Graph Construction Method,flatten
Distance Metric,dtw
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model66
Modularity,0.37827894421600616
Silhouette Score,-0.06657405197620392
Davies Bouldin Index,3.3809925842658295
Num Communities,8
