Item,Value
Graph Construction Method,flatten
Distance Metric,manhattan
Connectivity,knn
K Neighbors,3
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.5176237023509584
Silhouette Score,0.014689555089204257
Davies Bouldin Index,2.3277816777816778
Num Communities,5
