Item,Value
Graph Construction Method,flatten
Distance Metric,manhattan
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Modularity,0.47273059942396717
Silhouette Score,0.0263761618646549
Davies Bouldin Index,1.6255847953216374
Num Communities,4
