Item,Value
Graph Construction Method,flatten
Distance Metric,euclidean
Connectivity,knn
K Neighbors,5
Percentile,10.0
Clustering Algorithm,louvain
Model Name,TimeVAE_model36
Modularity,0.3451047530013569
Silhouette Score,-0.0682264119386673
Davies Bouldin Index,2.769251434975087
Num Communities,6
