,Value
Method,Bipartite Spectral Graph Partitioning
Model Name,TimeVAE_model9
Number of Clusters,7
Coverage,0.14425925925925925
Entropy Samples,1.9424823989661064
Entropy Features,1.9256879391050554
Silhouette Samples,-0.059513465
Silhouette Features,-0.043833554
Modularity,-0.0029654670924614147
